2.72812069e-01	2.32094918e-02	
1.21997483e-01	1.75154925e-02	
3.32361105e-01	2.81733599e-01	
2.40000000e-01	2.07981149e-12	
8.28911619e-01	2.79018591e-03	
2.69755339e+01	1.79117582e+00	
1.00000000e-01	8.66639563e-13	
6.09015716e-01	1.21361639e-01	
9.55510946e-02	1.06115792e-01	
4.13311047e-03	1.30553786e-02	
1.84913799e+00	9.74349598e-02	
9.50550036e-01	1.20668681e-02	
9.23422075e-01	1.72653076e-02	
9.99965570e-01	3.58914505e-05	
7.30497003e-02	1.91236619e-02	
6.83184814e-02	6.88854260e-03	
6.87910390e-01	4.45504956e-02	
5.33234526e-03	3.44472941e-04	
3.86000000e+00	3.34503125e-11	
1.43550000e+00	1.24389515e-11	
3.80923971e-02	3.76323039e-03	

